id,answer,explanation
0,metal,"0      There is a yellow metal cylinder which is on t...
1      There are no things that have the same shape a...
2      There is a big matte block which is on the lef...
3      There is a big purple sphere and there are a l...
4      There is a small brown rubber cylinder which h...
                             ...                        
495    There is a small metal ball and there is a sma...
496    The tiny cylinder left of the tiny purple matt...
497    There is the gray cylinder which has the ident...
498    There is a large cylinder which is behind the ...
499    There is a tiny brown rubber cylinder that has...
Name: pred_full, Length: 500, dtype: object"
1,no,"0      There is a yellow metal cylinder which is on t...
1      There are no things that have the same shape a...
2      There is a big matte block which is on the lef...
3      There is a big purple sphere and there are a l...
4      There is a small brown rubber cylinder which h...
                             ...                        
495    There is a small metal ball and there is a sma...
496    The tiny cylinder left of the tiny purple matt...
497    There is the gray cylinder which has the ident...
498    There is a large cylinder which is behind the ...
499    There is a tiny brown rubber cylinder that has...
Name: pred_full, Length: 500, dtype: object"
2,rubber,"0      There is a yellow metal cylinder which is on t...
1      There are no things that have the same shape a...
2      There is a big matte block which is on the lef...
3      There is a big purple sphere and there are a l...
4      There is a small brown rubber cylinder which h...
                             ...                        
495    There is a small metal ball and there is a sma...
496    The tiny cylinder left of the tiny purple matt...
497    There is the gray cylinder which has the ident...
498    There is a large cylinder which is behind the ...
499    There is a tiny brown rubber cylinder that has...
Name: pred_full, Length: 500, dtype: object"
3,no,"0      There is a yellow metal cylinder which is on t...
1      There are no things that have the same shape a...
2      There is a big matte block which is on the lef...
3      There is a big purple sphere and there are a l...
4      There is a small brown rubber cylinder which h...
                             ...                        
495    There is a small metal ball and there is a sma...
496    The tiny cylinder left of the tiny purple matt...
497    There is the gray cylinder which has the ident...
498    There is a large cylinder which is behind the ...
499    There is a tiny brown rubber cylinder that has...
Name: pred_full, Length: 500, dtype: object"
4,cylinder,"0      There is a yellow metal cylinder which is on t...
1      There are no things that have the same shape a...
2      There is a big matte block which is on the lef...
3      There is a big purple sphere and there are a l...
4      There is a small brown rubber cylinder which h...
                             ...                        
495    There is a small metal ball and there is a sma...
496    The tiny cylinder left of the tiny purple matt...
497    There is the gray cylinder which has the ident...
498    There is a large cylinder which is behind the ...
499    There is a tiny brown rubber cylinder that has...
Name: pred_full, Length: 500, dtype: object"
5,small,"0      There is a yellow metal cylinder which is on t...
1      There are no things that have the same shape a...
2      There is a big matte block which is on the lef...
3      There is a big purple sphere and there are a l...
4      There is a small brown rubber cylinder which h...
                             ...                        
495    There is a small metal ball and there is a sma...
496    The tiny cylinder left of the tiny purple matt...
497    There is the gray cylinder which has the ident...
498    There is a large cylinder which is behind the ...
499    There is a tiny brown rubber cylinder that has...
Name: pred_full, Length: 500, dtype: object"
6,yes,"0      There is a yellow metal cylinder which is on t...
1      There are no things that have the same shape a...
2      There is a big matte block which is on the lef...
3      There is a big purple sphere and there are a l...
4      There is a small brown rubber cylinder which h...
                             ...                        
495    There is a small metal ball and there is a sma...
496    The tiny cylinder left of the tiny purple matt...
497    There is the gray cylinder which has the ident...
498    There is a large cylinder which is behind the ...
499    There is a tiny brown rubber cylinder that has...
Name: pred_full, Length: 500, dtype: object"
7,0,"0      There is a yellow metal cylinder which is on t...
1      There are no things that have the same shape a...
2      There is a big matte block which is on the lef...
3      There is a big purple sphere and there are a l...
4      There is a small brown rubber cylinder which h...
                             ...                        
495    There is a small metal ball and there is a sma...
496    The tiny cylinder left of the tiny purple matt...
497    There is the gray cylinder which has the ident...
498    There is a large cylinder which is behind the ...
499    There is a tiny brown rubber cylinder that has...
Name: pred_full, Length: 500, dtype: object"
8,yes,"0      There is a yellow metal cylinder which is on t...
1      There are no things that have the same shape a...
2      There is a big matte block which is on the lef...
3      There is a big purple sphere and there are a l...
4      There is a small brown rubber cylinder which h...
                             ...                        
495    There is a small metal ball and there is a sma...
496    The tiny cylinder left of the tiny purple matt...
497    There is the gray cylinder which has the ident...
498    There is a large cylinder which is behind the ...
499    There is a tiny brown rubber cylinder that has...
Name: pred_full, Length: 500, dtype: object"
9,yes,"0      There is a yellow metal cylinder which is on t...
1      There are no things that have the same shape a...
2      There is a big matte block which is on the lef...
3      There is a big purple sphere and there are a l...
4      There is a small brown rubber cylinder which h...
                             ...                        
495    There is a small metal ball and there is a sma...
496    The tiny cylinder left of the tiny purple matt...
497    There is the gray cylinder which has the ident...
498    There is a large cylinder which is behind the ...
499    There is a tiny brown rubber cylinder that has...
Name: pred_full, Length: 500, dtype: object"
