id,answer,explanation
0,metal,The yellow cylinder to the right of the tiny rubber sphere that is in front of the red metal block is metallic.
1,no,There are no things which have the identical shape as a small red ball.
2,rubber,There is a big matte block which is to the left of the metallic cube that is in front of the metal sphere that is behind the brown cube.
3,no,There is a big purple sphere and there are a small red cube and sphere.
4,cylinder,There is the small brown rubber cylinder that has the same material as a large blue sphere.
5,small,The metallic cylinder to the right of the small gray metal cylinder is small.
6,yes,There is a small blue cube and there is a blue metal cylinder which is on the left side of the large brown shiny sphere.
7,0,There are no purple things.
8,yes,There are no large gray cubes that are behind the large rubber cube and there are no tiny cyan metal balls.
9,yes,There is a green cylinder that has the same color as a large rubber cube.
10,rubber,There is a tiny matte block that is to the right of the gray rubber cube.
11,no,There is a gray cylinder and there are two tiny cylinders.
12,yes,There are a large brown matte sphere and cube that are left of the tiny green cube and there are no small cyan shiny things.
13,no,There are no big purple cylinders that have the same material as a green sphere.
14,cyan,There is a cyan ball behind the large cyan block and to the right of the small blue metal cylinder.
15,cube,There is a red block which has the identical color as a large rubber ball.
16,yes,There are no green metal balls and there are two cyan shiny spheres.
17,no,There is a big gray metal cube and there is a brown matte cylinder.
18,small,There is a small blue matte cube that is to the right of the small cyan block.
19,small,There is a small rubber sphere which is behind the big metal cube that is in front of the cyan shiny ball.
20,rubber,The large cyan matte block has the same color as a large metal block.
21,cyan,There is a cyan shiny ball which is on the right side of the large blue metal cylinder.
22,yes,There is a big cyan block and there is a cyan sphere.
23,0,There are no big purple things that have the same material as a big purple block.
24,small,There is a small blue matte cube that is left of the matte cylinder that is left of the big green cube.
25,cylinder,There is a tiny red rubber cylinder which has the identical color as a metal cylinder.
26,yes,There is a red rubber cylinder and there is a large red metal cylinder which is on the right side of the small red metallic cylinder.
27,yes,There are three shiny cylinders and there are two big purple cylinders.
28,no,The rubber ball left of the tiny purple rubber sphere is big and the metal cylinder behind the large ball is tiny.
29,cube,There is a big rubber cube that has the same material as a blue ball.
30,yes,There is a tiny gray rubber block which is in front of the yellow sphere and there is a gray rubber cylinder.
31,cylinder,The blue shiny cylinder has the same color as a rubber cylinder.
32,yes,The large shiny cube is red and the tiny shiny block is red.
33,metal,There is a large metal cylinder which is behind the metallic cube that is left of the large cylinder that is behind the big cyan metal cylinder.
34,cylinder,There is the large cyan cylinder which has the identical size as a gray matte block.
35,no,There are no gray cylinders that have the same material as a red cylinder.
36,brown,There is a brown matte cube that is right of the gray cylinder that is right of the tiny cube that is in front of the tiny yellow metallic cube.
37,no,There are no red rubber cubes that are left of the brown matte cube and there are no small red rubber blocks.
38,cube,There is a red block which is on the left side of the small metal block that is right of the cyan shiny cylinder.
39,no,There are no things which have the identical material as a big purple ball.
40,1,There is a ball.
41,no,There are no things which have the identical size as a purple shiny cylinder.
42,yes,The large cyan sphere is matte and the tiny blue cylinder behind the brown metal cylinder is rubber.
43,large,The large red rubber cube has the same material as a purple ball.
44,no,There are no metallic things that have the same color as a small sphere.
45,metal,The small brown metallic block has the same color as a large metallic block.
46,sphere,The red rubber sphere has the same material as a large cyan ball.
47,cylinder,The large gray cylinder has the same size as a metallic sphere.
48,no,There is a gray metal ball and there is a big gray matte cylinder.
49,no,There are no things that have the same size as a green cylinder.
50,yes,There are a large brown rubber cylinder and cube that have the same color as a large matte block.
51,0,There are no things that have the same color as a small metallic cube.
52,0,There are no balls which are on the left side of the cylinder.
53,rubber,The cyan matte cylinder has the same color as a large ball.
54,yes,The small matte cube is gray and the matte block behind the red cylinder is gray.
55,large,The large purple metal cylinder has the same color as a small block.
56,0,There are no large purple cylinders that are left of the cyan cylinder that is behind the large brown ball.
57,cylinder,There is a big cylinder that is to the left of the large matte cylinder that is in front of the purple sphere.
58,rubber,There is a small matte cube that is right of the tiny green cylinder.
59,0,There are no things which have the identical color as a big rubber block.
60,yes,There are no blue rubber cubes that are behind the cyan matte ball and there are no tiny red cylinders.
61,metal,There is a tiny gray metallic cylinder which has the identical size as a cube.
62,1,There is a gray sphere which has the identical color as a big metallic cylinder.
63,yes,There is a blue cube and there is a tiny cube that is behind the blue matte cube.
64,1,There is a large purple sphere.
65,cylinder,There is a large purple cylinder that has the same size as a cyan ball.
